2024년 청출협 추천도서 - 고등학생 50선,,,,,,,
권장연령,도서명,"지은이 (글, 그림, 옮긴이)",출판사,주제어,가격,ISBN,도서소개(50자)
고등학생,10대를 위한 세계 분쟁지역 이야기,"프란체스카 만노키 글, 김현주 역, 구정은 감수",롤러코스터,전쟁,"16,800 ",9791191311297 ,"세계 분쟁지역의 역사와 충돌의 양상을 알아보고, 그곳 사람들의 생생한 이야기를 전한다."
고등학생,10대와 통하는 세계사 이야기,손석춘 글,철수와영희,세계사,"16,000 ",9791188215881 ,미디어 혁명을 중심으로 살펴본 세계의 역사 
고등학생,경제가 쉬워지는 최소한의 수학,오국환 글,지상의책,경제수학,"18,500 ",9791193301029 ,"수학, 일상 속 경제 문해력을 키우다!
합리적 선택과 문제 해결력을 위한 수학적 사고법"
고등학생,공격 사회,정주진 글,철수와영희,혐오,"17,000 ",9791171530069 ,"장애, 빈곤, 기후변화, 젠더 갈등 등 아홉 가지 주제를 중심으로 약자들의 이야기를 다뤘다"
고등학생,그레타 툰베리,"알렉산드라 우리스만 오토 글, 로저 튜레손 사진, 신현승 옮김",책담,기후환경,"18,500 ",9791192686639 ,"그레타 툰베리, 환경운동가가 될 수 밖에 없었던 절박하고 진실된 기록"
고등학생,난 두렵지 않아요,"프란체스코 다다모 글, 이현경 옮김",주니어RHK,"어린이 노동, 어린이 인권","15,000 ",9788925576077 ,어린이 노동 해방 운동의 거대한 상징이 된 이크발 마시의 거룩한 삶에 대하여
고등학생,남녀차별은 왜 생겨났나?,"프랑수아즈 에리티에 지음, 박찬규 옮김",구름서재,성차별,"10,000 ",9791195283460 ,남녀의 성 차이는 어떻게 차별로 이어졌나? 인류학자가 들려주는 성과 젠더 이야기
고등학생,내 몸 쓰는 법,김보미 글,서해문집,"운동, 체육","14,500 ",9791192988610 ,"운동은 재능 있는 사람만 하는 것?
내가 누구인지, 무엇을 좋아하는지 찾는 기회!"
고등학생,내가 떨어지면 나를 잡아 줘,"배리 존스버그 글, 천미나 옮김",나무생각,미래소설,"16,800 ",9791162182949 ,"파괴된 지구, 고갈된 식량, 추방된 사람들, 그리고 인간보다 더 인간적인 복제인간 이야기 "
고등학생,내가 알게 된 모든 것,"니콜 정 글, 정혜윤 옮김",원더박스,자아 찾기,"16,800 ",9791192953069 ,백인 가족에 입양된 한국계 여성 니콜이 ‘수정’이라는 본명을 찾는 과정을 그려 낸 회고담.
고등학생,내일의 피크닉,강석희 ,책폴,자립청소년,"14,000 ",9791193162217 ,"반복되는 현실의 혹독한 굴레, 그럼에도 힘겹게 서로를 사랑하고 마는 눈부신 삶의 이야기"
고등학생,도시 대 도시! 맞짱 세계지리 수업,"조지욱 글, 송진욱 그림",주니어태학,"세계지리, 도시","16,800 ",9791168102439 ,"‘전지적 도시 시점’으로 읽는 뜻밖의 지리!
극단의 두 도시를 알면 지리의 세계가 보인다"
고등학생,맛집에서 만난 지리 수업,남원상 글,서해문집,"지리, 맛집","11,000 ",9791157851911 ,"대자연에 울려 퍼진 소음과 진동, 아파하는 가축과 반목하는 사람들.
자연과 환경은 우리에게 무엇인가?"
고등학생,물리학자가 들려주는 물리학 이야기,"다나카 미유키, 유키 치요코 글, 김지예 옮긴이",동아엠앤비,물리학,"16,800 ",9791163635659 ,"‘인물’로 읽는 물리학의 역사! 빛나는 물리학 이론을 정립한 위대한 물리학자 45인의 
연구와 업적 수록!"
고등학생,미래를 읽다. 과학이슈11 시즌14,한상기 외 10명 글,동아엠앤비,과학이슈,"18,000 ",9791163637028 ,"2023년 상반기를 뜨겁게 달군 최고의 과학이슈 11가지!
누리호 3차 발사, 생성형 인공지능에서 원전 오염수까지…"
고등학생,미래를 읽다. 과학이슈11 시즌15,한상욱 외 10명 글,동아엠앤비,과학이슈,"18,000 ",9791163637844 ,"2023년 하반기를 뜨겁게 달군 최고의 과학이슈 11가지!
연구개발 예산 삭감, 상온 초전도체에서 애플 비전 프로까지…"
고등학생,바이오 신약 혁명,이성규 지음,플루토,바이오 신약 개발,"18,000 ",9791188569557 ,"사람과 자본이 가장 많이 몰리는 바이오 의약품의 세계, 과학전문기자가 
알기 쉽게 설명한다."
고등학생,반도체가 그렇게 중요한가요?,"김보미,채인택 글, 주노 그림",서해문집,"반도체, 과학","14,800 ",9791192988283 ,십 대를 위한 최초의 반도체 교양서
고등학생,상상하는 공학 진화하는 인간  ,KAIST 기계공학과 ,해냄 ,공학,"19,800 ",9791167140814 ,KAIST 기계공학과 교수들이 들려주는 첨단 기술의 오늘과 내일
고등학생,생각이 많은 10대를 위한 뜻깊은 세계사,"최은진 글, 나수은 그림",나무생각,세계사,"16,800 ",9791162182833 ,나와 세상을 이해하는 청소년 세계사 수업. 세계사적 사건 속 사람들의 이야기를 살펴본다.
고등학생,생태시민을 위한 동물지리와 환경 이야기 ,한준호 외 글,롤러코스터,지리,"17,600 ",9791191311396 ,지리의 시선으로 인간과 동물이 어떤 관계를 맺고 생태계를 함께 만들어나가야 할지 고민해본다.
고등학생,세상을 떠들썩하게 만든 세기의 재판 이야기,장보람 글,팜파스,"재판, 세계사","15,000 ",9791170266006 ,그 재판이 역사가 된 이유! 고대부터 현대까지 재판으로 알아보는 흥미진진한 법과 세계사
